,nom_lon,nom_lat,lonedges_lo,lonedges_hi,latedges_lo,latedges_hi,Sta,StaLon,StaLat
0,-145.0,50.0,-145.08097345132745,-144.91902654867255,49.94795126877317,50.05204873122683,26,-144.99996380193056,50.0000642581091
1,-144.83805309734512,49.98805309734513,-144.91902654867255,-144.7570796460177,49.9360043661183,50.04010182857196,,,
2,-144.67610619469028,49.97610619469027,-144.7570796460177,-144.59513274336285,49.924057463463434,50.0281549259171,,,
3,-144.5141592920354,49.9641592920354,-144.59513274336285,-144.43318584070795,49.912110560808564,50.01620802326223,,,
4,-144.35221238938053,49.952212389380534,-144.43318584070795,-144.2712389380531,49.9001636581537,50.00426112060737,35,-144.3031452474609,50.000180256549
5,-144.19026548672565,49.940265486725664,-144.2712389380531,-144.10929203539823,49.88821675549883,49.9923142179525,,,
6,-144.0283185840708,49.928318584070794,-144.10929203539823,-143.94734513274335,49.87626985284396,49.98036731529763,,,
7,-143.86637168141593,49.91637168141593,-143.94734513274335,-143.7853982300885,49.8643229501891,49.968420412642764,,,
8,-143.70442477876105,49.90442477876106,-143.7853982300885,-143.62345132743363,49.85237604753423,49.956473509987894,,,
9,-143.5424778761062,49.89247787610619,-143.62345132743363,-143.46150442477875,49.84042914487936,49.944526607333025,25,-143.6048238909421,50.00004305296767
10,-143.38053097345133,49.88053097345133,-143.46150442477875,-143.2995575221239,49.828482242224496,49.93257970467816,,,
11,-143.21858407079645,49.86858407079646,-143.2995575221239,-143.13761061946903,49.816535339569626,49.92063280202329,,,
12,-143.0566371681416,49.856637168141596,-143.13761061946903,-142.97566371681415,49.80458843691476,49.90868589936843,,,
13,-142.89469026548673,49.844690265486726,-142.97566371681415,-142.8137168141593,49.79264153425989,49.89673899671356,,,
14,-142.73274336283185,49.832743362831856,-142.8137168141593,-142.6517699115044,49.78069463160502,49.88479209405869,24,-142.66642954807423,49.83651118350044
15,-142.57079646017698,49.82079646017699,-142.6517699115044,-142.48982300884956,49.76874772895016,49.872845191403826,,,
16,-142.40884955752213,49.80884955752212,-142.48982300884956,-142.3278761061947,49.75680082629529,49.860898288748956,,,
17,-142.24690265486726,49.79690265486725,-142.3278761061947,-142.1659292035398,49.74485392364042,49.848951386094086,,,
18,-142.08495575221238,49.78495575221239,-142.1659292035398,-142.00398230088496,49.73290702098556,49.83700448343922,,,
19,-141.92300884955753,49.77300884955752,-142.00398230088496,-141.8420353982301,49.72096011833069,49.82505758078435,,,
20,-141.76106194690266,49.76106194690266,-141.8420353982301,-141.6800884955752,49.709013215675824,49.81311067812949,,,
21,-141.59911504424778,49.74911504424779,-141.6800884955752,-141.51814159292036,49.697066313020954,49.80116377547462,23,-141.66652294124006,49.766935716716034
22,-141.43716814159293,49.73716814159292,-141.51814159292036,-141.3561946902655,49.685119410366084,49.78921687281975,,,
23,-141.27522123893806,49.725221238938055,-141.3561946902655,-141.1942477876106,49.67317250771122,49.77726997016489,,,
24,-141.11327433628318,49.713274336283185,-141.1942477876106,-141.03230088495576,49.66122560505635,49.76532306751002,,,
25,-140.9513274336283,49.70132743362832,-141.03230088495576,-140.87035398230088,49.64927870240149,49.753376164855155,,,
26,-140.78938053097346,49.68938053097345,-140.87035398230088,-140.708407079646,49.63733179974662,49.741429262200285,,,
27,-140.62743362831858,49.67743362831858,-140.708407079646,-140.54646017699116,49.62538489709175,49.729482359545415,22,-140.66621258892522,49.70014079780875
28,-140.4654867256637,49.66548672566372,-140.54646017699116,-140.38451327433629,49.613437994436886,49.71753545689055,,,
29,-140.30353982300886,49.65353982300885,-140.38451327433629,-140.2225663716814,49.601491091782016,49.70558855423568,,,
30,-140.141592920354,49.64159292035398,-140.2225663716814,-140.06061946902656,49.589544189127146,49.69364165158081,,,
31,-139.9796460176991,49.629646017699116,-140.06061946902656,-139.8986725663717,49.57759728647228,49.68169474892595,,,
32,-139.81769911504426,49.617699115044246,-139.8986725663717,-139.7367256637168,49.56565038381741,49.66974784627108,,,
33,-139.6557522123894,49.60575221238938,-139.7367256637168,-139.57477876106196,49.55370348116255,49.657800943616216,21,-139.66670034633654,49.63335897301718
34,-139.4938053097345,49.59380530973451,-139.57477876106196,-139.41283185840706,49.54175657850768,49.645854040961346,,,
35,-139.33185840707964,49.58185840707964,-139.41283185840706,-139.2508849557522,49.52980967585281,49.633907138306476,,,
36,-139.1699115044248,49.56991150442478,-139.2508849557522,-139.08893805309737,49.51786277319795,49.62196023565161,,,
37,-139.0079646017699,49.55796460176991,-139.08893805309737,-138.92699115044246,49.50591587054308,49.61001333299674,,,
38,-138.84601769911504,49.54601769911504,-138.92699115044246,-138.7650442477876,49.49396896788821,49.59806643034187,,,
39,-138.6840707964602,49.53407079646018,-138.7650442477876,-138.60309734513277,49.482022065233345,49.58611952768701,20,-138.66664334608245,49.56671319899686
40,-138.52212389380531,49.52212389380531,-138.60309734513277,-138.44115044247786,49.470075162578475,49.57417262503214,,,
41,-138.36017699115044,49.510176991150445,-138.44115044247786,-138.27920353982302,49.45812825992361,49.56222572237728,,,
42,-138.19823008849556,49.498230088495575,-138.27920353982302,-138.11725663716814,49.44618135726874,49.55027881972241,,,
43,-138.03628318584072,49.486283185840705,-138.11725663716814,-137.95530973451326,49.43423445461387,49.53833191706754,,,
44,-137.87433628318584,49.47433628318584,-137.95530973451326,-137.79336283185842,49.42228755195901,49.526385014412675,,,
45,-137.71238938053096,49.46238938053097,-137.79336283185842,-137.63141592920354,49.41034064930414,49.514438111757805,19,-137.66646902627076,49.50005326961275
