,nom_lon,nom_lat,lonedges_lo,lonedges_hi,latedges_lo,latedges_hi,Sta,StaLon,StaLat,Index
0,-145.0,50.0,-145.24729729729728,-144.75270270270272,49.68208072277666,50.31791927722334,26,-144.99996380193056,50.0000642581091,0
1,-144.5054054054054,49.96351351351351,-144.75270270270272,-144.2581081081081,49.64559423629017,50.28143279073685,35,-144.3031452474609,50.000180256549,1
2,-144.01081081081082,49.92702702702703,-144.2581081081081,-143.76351351351352,49.60910774980369,50.24494630425037,,,,2
3,-143.5162162162162,49.89054054054054,-143.76351351351352,-143.26891891891893,49.5726212633172,50.20845981776388,25,-143.6048238909421,50.00004305296767,3
4,-143.02162162162162,49.85405405405405,-143.26891891891893,-142.7743243243243,49.536134776830714,50.17197333127739,,,,4
5,-142.52702702702703,49.817567567567565,-142.7743243243243,-142.27972972972975,49.499648290344226,50.135486844790904,24,-142.66642954807423,49.83651118350044,5
6,-142.03243243243244,49.78108108108108,-142.27972972972975,-141.78513513513514,49.463161803857744,50.09900035830442,,,,6
7,-141.53783783783783,49.744594594594595,-141.78513513513514,-141.29054054054052,49.426675317371256,50.062513871817934,23,-141.66652294124006,49.766935716716034,7
8,-141.04324324324324,49.70810810810811,-141.29054054054052,-140.79594594594596,49.39018883088477,50.026027385331446,,,,8
9,-140.54864864864865,49.67162162162162,-140.79594594594596,-140.30135135135134,49.35370234439828,49.98954089884496,22,-140.66621258892522,49.70014079780875,9
10,-140.05405405405406,49.63513513513514,-140.30135135135134,-139.80675675675676,49.3172158579118,49.953054412358476,,,,10
11,-139.55945945945945,49.59864864864865,-139.80675675675676,-139.31216216216217,49.28072937142531,49.91656792587199,21,-139.66670034633654,49.63335897301718,11
12,-139.06486486486486,49.56216216216216,-139.31216216216217,-138.81756756756755,49.24424288493882,49.8800814393855,,,,12
13,-138.57027027027027,49.52567567567568,-138.81756756756755,-138.322972972973,49.20775639845234,49.84359495289902,20,-138.66664334608245,49.56671319899686,13
14,-138.07567567567568,49.48918918918919,-138.322972972973,-137.82837837837837,49.17126991196585,49.80710846641253,,,,14
15,-137.5810810810811,49.4527027027027,-137.82837837837837,-137.3337837837838,49.13478342547936,49.77062197992604,19,-137.66646902627076,49.50005326961275,15
16,-137.08648648648648,49.41621621621621,-137.3337837837838,-136.8391891891892,49.098296938992874,49.73413549343955,,,,16
17,-136.5918918918919,49.37972972972973,-136.8391891891892,-136.34459459459458,49.06181045250639,49.69764900695307,18,-136.66672322992844,49.433416880067675,17
18,-136.0972972972973,49.34324324324324,-136.34459459459458,-135.85000000000002,49.025323966019904,49.66116252046658,,,,18
19,-135.60270270270271,49.306756756756755,-135.85000000000002,-135.3554054054054,48.988837479533416,49.624676033980094,17,-135.6665597692798,49.34985157816057,19
20,-135.1081081081081,49.27027027027027,-135.3554054054054,-134.8608108108108,48.95235099304693,49.588189547493606,,,,20
21,-134.6135135135135,49.233783783783785,-134.8608108108108,-134.36621621621623,48.915864506560446,49.551703061007125,16,-134.66656932948783,49.283302075140085,21
22,-134.11891891891892,49.1972972972973,-134.36621621621623,-133.8716216216216,48.87937802007396,49.515216574520636,,,,22
23,-133.62432432432433,49.16081081081081,-133.8716216216216,-133.37702702702703,48.84289153358747,49.47873008803415,15,-133.6664306777853,49.1998673474284,23
24,-133.12972972972972,49.12432432432432,-133.37702702702703,-132.88243243243244,48.80640504710098,49.44224360154766,,,,24
25,-132.63513513513513,49.08783783783784,-132.88243243243244,-132.38783783783782,48.7699185606145,49.40575711506118,14,-132.66629074152206,49.123224320741,25
26,-132.14054054054054,49.05135135135135,-132.38783783783782,-131.89324324324326,48.73343207412801,49.36927062857469,,,,26
27,-131.64594594594595,49.01486486486486,-131.89324324324326,-131.39864864864865,48.69694558764152,49.3327841420882,13,-131.66613955851852,49.0434326721994,27
28,-131.15135135135137,48.97837837837838,-131.39864864864865,-130.90405405405406,48.66045910115504,49.29629765560172,,,,28
29,-130.65675675675675,48.94189189189189,-130.90405405405406,-130.40945945945947,48.62397261466855,49.25981116911523,12,-130.6665383938441,48.96991312572665,29
30,-130.16216216216216,48.9054054054054,-130.40945945945947,-129.91486486486485,48.587486128182064,49.22332468262874,11,-130.16660258726603,48.93331059916074,30
31,-129.66756756756757,48.868918918918915,-129.91486486486485,-129.4202702702703,48.550999641695576,49.186838196142254,10,-129.66653341895665,48.89323824582591,31
32,-129.17297297297299,48.832432432432434,-129.4202702702703,-128.92567567567568,48.514513155209094,49.15035170965577,9,-129.16609786721466,48.85655358506996,32
33,-128.67837837837837,48.795945945945945,-128.92567567567568,-128.43108108108106,48.478026668722606,49.113865223169284,8,-128.66667893260188,48.81666770061902,33
34,-128.18378378378378,48.75945945945946,-128.43108108108106,-127.93648648648649,48.44154018223612,49.077378736682796,7,-128.16643529176443,48.776600607921004,34
35,-127.6891891891892,48.72297297297297,-127.93648648648649,-127.4418918918919,48.40505369574963,49.04089225019631,6,-127.66642005115442,48.74324659380502,35
36,-127.1945945945946,48.68648648648649,-127.4418918918919,-126.9472972972973,48.36856720926315,49.004405763709826,5,-127.16630410729313,48.691992973694354,36
37,-126.7,48.65,-126.9472972972973,-126.45270270270271,48.33208072277666,48.96791927722334,4,-126.66653216537036,48.64990158487037,37
