,nom_lon,nom_lat,lonedges_lo,lonedges_hi,latedges_lo,latedges_hi,Sta,StaLon,StaLat,Index
0,-145.0,50.0,-145.0484126984127,-144.9515873015873,49.937761834617646,50.062238165382354,26,-144.99996380193056,50.0000642581091,0
1,-144.9031746031746,49.99285714285714,-144.9515873015873,-144.85476190476192,49.930618977474786,50.055095308239494,,,,1
2,-144.8063492063492,49.98571428571429,-144.85476190476192,-144.7579365079365,49.923476120331934,50.04795245109664,,,,2
3,-144.7095238095238,49.97857142857143,-144.7579365079365,-144.6611111111111,49.916333263189074,50.04080959395378,,,,3
4,-144.61269841269842,49.97142857142857,-144.6611111111111,-144.56428571428572,49.909190406046214,50.03366673681092,,,,4
5,-144.515873015873,49.964285714285715,-144.56428571428572,-144.46746031746034,49.90204754890336,50.02652387966807,,,,5
6,-144.41904761904763,49.957142857142856,-144.46746031746034,-144.37063492063493,49.8949046917605,50.01938102252521,,,,6
7,-144.32222222222222,49.95,-144.37063492063493,-144.27380952380952,49.88776183461765,50.01223816538236,35,-144.3031452474609,50.000180256549,7
8,-144.2253968253968,49.94285714285714,-144.27380952380952,-144.1769841269841,49.88061897747479,50.0050953082395,,,,8
9,-144.12857142857143,49.93571428571428,-144.1769841269841,-144.08015873015873,49.87347612033193,49.99795245109664,,,,9
10,-144.03174603174602,49.92857142857143,-144.08015873015873,-143.98333333333335,49.86633326318908,49.990809593953784,,,,10
11,-143.93492063492064,49.92142857142857,-143.98333333333335,-143.88650793650794,49.85919040604622,49.983666736810925,,,,11
12,-143.83809523809524,49.91428571428571,-143.88650793650794,-143.78968253968253,49.85204754890336,49.976523879668065,,,,12
13,-143.74126984126985,49.90714285714286,-143.78968253968253,-143.69285714285715,49.844904691760505,49.96938102252521,,,,13
14,-143.64444444444445,49.9,-143.69285714285715,-143.59603174603174,49.837761834617645,49.96223816538235,25,-143.6048238909421,50.00004305296767,14
15,-143.54761904761904,49.892857142857146,-143.59603174603174,-143.49920634920636,49.83061897747479,49.9550953082395,,,,15
16,-143.45079365079366,49.885714285714286,-143.49920634920636,-143.40238095238095,49.82347612033193,49.94795245109664,,,,16
17,-143.35396825396825,49.878571428571426,-143.40238095238095,-143.30555555555554,49.81633326318907,49.94080959395378,,,,17
18,-143.25714285714287,49.871428571428574,-143.30555555555554,-143.20873015873016,49.80919040604622,49.93366673681093,,,,18
19,-143.16031746031746,49.864285714285714,-143.20873015873016,-143.11190476190478,49.80204754890336,49.92652387966807,,,,19
20,-143.06349206349208,49.857142857142854,-143.11190476190478,-143.01507936507937,49.7949046917605,49.91938102252521,,,,20
21,-142.96666666666667,49.85,-143.01507936507937,-142.91825396825396,49.78776183461765,49.912238165382355,,,,21
22,-142.86984126984126,49.84285714285714,-142.91825396825396,-142.82142857142856,49.78061897747479,49.905095308239495,,,,22
23,-142.77301587301588,49.83571428571429,-142.82142857142856,-142.72460317460317,49.773476120331935,49.89795245109664,,,,23
24,-142.67619047619047,49.82857142857143,-142.72460317460317,-142.6277777777778,49.766333263189075,49.89080959395378,24,-142.66642954807423,49.83651118350044,24
25,-142.5793650793651,49.82142857142857,-142.6277777777778,-142.53095238095239,49.759190406046216,49.88366673681092,,,,25
26,-142.48253968253968,49.81428571428572,-142.53095238095239,-142.43412698412698,49.75204754890336,49.87652387966807,,,,26
27,-142.3857142857143,49.80714285714286,-142.43412698412698,-142.3373015873016,49.7449046917605,49.86938102252521,,,,27
28,-142.2888888888889,49.8,-142.3373015873016,-142.2404761904762,49.73776183461764,49.86223816538235,,,,28
29,-142.19206349206348,49.792857142857144,-142.2404761904762,-142.1436507936508,49.73061897747479,49.8550953082395,,,,29
30,-142.0952380952381,49.785714285714285,-142.1436507936508,-142.0468253968254,49.72347612033193,49.84795245109664,,,,30
31,-141.9984126984127,49.778571428571425,-142.0468253968254,-141.95,49.71633326318907,49.84080959395378,,,,31
32,-141.9015873015873,49.77142857142857,-141.95,-141.8531746031746,49.70919040604622,49.833666736810926,,,,32
33,-141.8047619047619,49.76428571428571,-141.8531746031746,-141.7563492063492,49.70204754890336,49.826523879668066,,,,33
34,-141.7079365079365,49.75714285714286,-141.7563492063492,-141.65952380952382,49.694904691760506,49.819381022525214,23,-141.66652294124006,49.766935716716034,34
35,-141.61111111111111,49.75,-141.65952380952382,-141.5626984126984,49.687761834617646,49.812238165382354,,,,35
36,-141.5142857142857,49.74285714285714,-141.5626984126984,-141.465873015873,49.680618977474786,49.805095308239494,,,,36
37,-141.41746031746032,49.73571428571429,-141.465873015873,-141.36904761904762,49.673476120331934,49.79795245109664,,,,37
38,-141.32063492063492,49.72857142857143,-141.36904761904762,-141.27222222222224,49.666333263189074,49.79080959395378,,,,38
39,-141.22380952380954,49.72142857142857,-141.27222222222224,-141.17539682539683,49.659190406046214,49.78366673681092,,,,39
40,-141.12698412698413,49.714285714285715,-141.17539682539683,-141.07857142857142,49.65204754890336,49.77652387966807,,,,40
41,-141.03015873015872,49.707142857142856,-141.07857142857142,-140.981746031746,49.6449046917605,49.76938102252521,,,,41
42,-140.93333333333334,49.7,-140.981746031746,-140.88492063492063,49.63776183461765,49.76223816538236,,,,42
43,-140.83650793650793,49.69285714285714,-140.88492063492063,-140.78809523809525,49.63061897747479,49.7550953082395,,,,43
44,-140.73968253968255,49.68571428571428,-140.78809523809525,-140.69126984126984,49.62347612033193,49.74795245109664,,,,44
45,-140.64285714285714,49.67857142857143,-140.69126984126984,-140.59444444444443,49.61633326318908,49.740809593953784,22,-140.66621258892522,49.70014079780875,45
